architecture,feature_dim,learning_rate,epoch,train_loss,val_loss,avg_latency,fitness
regnet_y_400mf,440,0.001,4,14.937363198224237,16.468255043029785,0.0153347687287764,0.1406524342666069
regnet_y_400mf,440,0.001,2,18.37908982669606,19.40759949250655,0.0144124356183138,0.1406524342666069
regnet_y_400mf,440,0.001,6,12.351251518025116,13.52889026295055,0.0157789967276833,0.1406524342666069
regnet_y_400mf,440,0.001,7,10.854434669719025,11.971181566065008,0.0143133293498646,0.1406524342666069
regnet_y_400mf,440,0.001,8,10.031878779916202,9.337165594100952,0.0125178748911077,0.1406524342666069
regnet_y_400mf,440,0.001,5,13.554944116929,13.246665120124815,0.0140792348168113,0.1406524342666069
mobilenet_v3_small,576,0.0001,6,31.49247986288632,25.830827539617363,0.0080454457889903,0.1558364326220925
mobilenet_v3_small,576,0.0001,9,25.47201722088982,23.75224477594549,0.0065792148763483,0.1558364326220925
mobilenet_v3_small,576,0.0001,5,41.56035109127269,79.71477994051847,0.0078736218539151,0.1558364326220925
mobilenet_v3_small,576,0.0001,4,54.744120384665095,74.37268569252707,0.0085027109492908,0.1558364326220925
mobilenet_v3_small,576,0.0001,3,69.66703729068531,86.52586017955433,0.0072146979245272,0.1558364326220925
mobilenet_v3_small,576,0.0001,2,83.17275983025046,90.0289008400657,0.0117402293465354,0.1558364326220925
mobilenet_v3_small,576,0.0001,1,90.4268476598403,91.40259378606623,0.0103636980056762,0.1558364326220925
mobilenet_v3_small,576,0.0001,10,24.260446604560403,24.375156922773883,0.0063932483846491,0.1558364326220925
mobilenet_v3_small,576,0.0001,8,25.21153001224293,25.479673298922453,0.0069273060018366,0.1558364326220925
mobilenet_v3_small,576,0.0001,7,26.668129831201888,27.46413109519265,0.0081961046565662,0.1558364326220925
regnet_y_400mf,440,0.01,4,18.24860597498277,17.127025192434136,0.012516747821461,0.1559882193699081
regnet_y_400mf,440,0.01,5,16.072032468459184,21.465020396492697,0.0126778429204767,0.1559882193699081
regnet_y_400mf,440,0.01,6,15.926769166834214,16.060047713193025,0.0151172659613869,0.1559882193699081
regnet_y_400mf,440,0.01,7,15.002377734464758,14.814108501781115,0.0098595835945822,0.1559882193699081
regnet_y_400mf,440,0.01,8,13.802248281591078,13.335322163321756,0.016777677969499,0.1559882193699081
regnet_y_400mf,440,0.01,9,13.816110925113454,15.21558055010709,0.0129563266580755,0.1559882193699081
regnet_y_400mf,440,0.01,3,17.96623078514548,16.56328010559082,0.0155654820528897,0.1559882193699081
regnet_y_400mf,440,0.01,2,21.154833064359774,21.26685961810025,0.0139214233918623,0.1559882193699081
regnet_y_400mf,440,0.01,10,12.763695340998032,11.165582288395274,0.0139704509214921,0.1559882193699081
regnet_y_400mf,440,0.01,1,26.97394534840303,24.11351411992853,0.0078280513936823,0.1559882193699081
regnet_y_800mf,784,0.01,1,26.10378117280848,25.68411575664173,0.0100818980823863,0.1678944620529386
regnet_y_800mf,784,0.01,2,20.297594788495232,20.8055947043679,0.0123203667727383,0.1678944620529386
regnet_y_800mf,784,0.01,3,18.203924459569595,16.315253041007303,0.0135664072903719,0.1678944620529386
regnet_y_800mf,784,0.01,4,17.582404776180493,17.976737585934725,0.0146954601461237,0.1678944620529386
regnet_y_800mf,784,0.01,5,17.71530522739186,19.29259235208685,0.0105974023992365,0.1678944620529386
regnet_y_800mf,784,0.01,6,17.188424379685348,17.977478547529742,0.0121719295328313,0.1678944620529386
regnet_y_800mf,784,0.01,8,14.946725598503562,15.12996541370045,0.0110100399364124,0.1678944620529386
regnet_y_800mf,784,0.01,9,14.665346661735985,14.338781053369695,0.0143446380441839,0.1678944620529386
regnet_y_800mf,784,0.01,7,16.012775499680462,14.328434944152832,0.0125362114472822,0.1678944620529386
regnet_y_800mf,784,0.01,10,14.254988552542294,17.107625571164217,0.0098140131343494,0.1678944620529386
regnet_y_400mf,440,0.0001,7,15.145191966786104,15.731623606248336,0.0149107304486361,0.1755896187898647
regnet_y_400mf,440,0.0001,6,16.19227389167337,18.96698639609597,0.012986345724626,0.1755896187898647
regnet_y_400mf,440,0.0001,5,17.944835718940286,18.32487964630127,0.0119535814632068,0.1755896187898647
regnet_y_400mf,440,0.0001,4,19.573902365740608,19.127747318961404,0.0138924121856689,0.1755896187898647
regnet_y_400mf,440,0.0001,3,22.496697852190803,21.3674915487116,0.0159770900552923,0.1755896187898647
regnet_y_400mf,440,0.0001,2,48.18461898354923,28.95800802924416,0.0129189816388216,0.1755896187898647
regnet_y_400mf,440,0.0001,1,84.08160220875459,68.19137330488725,0.0131230029192837,0.1755896187898647
regnet_y_400mf,440,0.0001,10,12.852704642800724,14.060537229884757,0.0124881159175526,0.1755896187898647
regnet_y_400mf,440,0.0001,9,13.67913719626034,14.202412735332144,0.012771498073231,0.1755896187898647
regnet_y_400mf,440,0.0001,8,14.372314172632557,16.48422145843506,0.0127836032347245,0.1755896187898647
shufflenet_v2_x0_5,1024,0.0001,4,23.91313025530647,23.189554821361195,0.0111323703419078,0.178370468967229
shufflenet_v2_x0_5,1024,0.0001,1,85.92757676068474,77.84219672463156,0.0079980871894142,0.178370468967229
shufflenet_v2_x0_5,1024,0.0001,3,38.561038432401766,28.29741859436035,0.0074828321283513,0.178370468967229
shufflenet_v2_x0_5,1024,0.0001,5,22.02170840992647,23.009840618480336,0.0078099424188787,0.178370468967229
shufflenet_v2_x0_5,1024,0.0001,2,65.93940236708697,49.97899376262318,0.0079304413361982,0.178370468967229
shufflenet_v2_x0_5,1024,0.0001,7,21.133059198716108,22.20133703405207,0.0089407725767655,0.178370468967229
shufflenet_v2_x0_5,1024,0.0001,8,20.95563898647533,22.023064786737617,0.0113867304541847,0.178370468967229
shufflenet_v2_x0_5,1024,0.0001,9,20.591638980192297,21.934236526489254,0.0080492171374234,0.178370468967229
shufflenet_v2_x0_5,1024,0.0001,6,21.430385410084444,22.91119792244651,0.0091755173423073,0.178370468967229
shufflenet_v2_x0_5,1024,0.0001,10,20.35257828656365,21.7807188467546,0.0081893747503107,0.178370468967229
convnext_tiny,768,0.001,10,18.16593625685748,19.06301381371238,0.0094564286145296,0.1802680293071646
